id,name,link,description,cooktime,ingredients,recipe
74,sooji ka halwa (semolina halwa),https://fatimacooks.net/sooji-ka-halwa-sweet-semolina-pudding/,"This Pakistani dessert is far quicker to cook than other desserts - at only 20 minutes of cook time, this may clock in as one of the quickest Desi desserts out there!",20 minutes,⅓ cup  (65 g) ghee | 8   cashews | 5   cardamom seeds | 1 cup  (170 g) semolina | 2 cups  (½ l) water | ¾ cup  (160 g) sugar adjust to taste | 1 teaspoon   rosewater optional | 1 pinch   saffron optional,"In a pestle and mortar, beat the cardamom seeds till the black seeds from inside come out. Discard the shells. If you don't have a pestle and mortar, put the cardamom seeds in a bag and beat with a rolling pin till the black seeds come out. | In a pan, heat the ghee and add the cashews and cardamom seed remnants. Fry till golden brown, about 3 minutes. | To the ghee, add the semolina. Roast the semolina on medium-low heat for 12-15 minutes, stirring very often and keeping close by at all times to ensure the semolina doesn't brown too much or burn. | As the semolina is roasting, in a separate pan add the water, sugar, rosewater and saffron, Heat on medium heat and dissolve the sugar. Before it comes to a boil, turn the heat off and cover. | Once the semolina has roasted, add the water. It will sizzle and bubble and steam will rise - but keep stirring! This is because we need to ensure no lumps are formed. | Keep stirring the halwa constantly until it begins to start pulling away from the edges. | Sooji Ka Halwa is ready! Garnish with cashews and serve hot!"
75,"ramadan recipe: potato filling for samosas, spring rolls, parathas, dosas etc.",https://fatimacooks.net/cumin-spiced-potato-filling-ramadan/,"Potato-filled samosas are a favourite loved by everyone and make a regular appearance at South-East Asian Iftar tables. This filling is distincly flavoured with cumin, both powdered and whole and coriander, fresh, whole and powdered. This filling isn't limited to samosas, you can use it for spring rolls, parathas or cutlets too!",55 minutes,"3 lb  (1 ⅓ kg) potatoes | 2   (220 g) medium onions | 0.5 bulb   garlic, peeled | 2 inch   ginger | 2 tablespoon   cumin seeds | 0.5 tablespoon   coriander seeds | 3 tablespoon   oil | 2 teaspoon   coriander powder | 1 teaspoon   chilli powder | 1 teaspoon   turmeric | 1 teaspoon   black pepper | 1 teaspoon   cumin powder | 2.5 teaspoon   salt | 1   (30 g) bunch fresh coriander","Peel and roughly chop the onions, garlic and ginger. Set aside. | In a pot, heat the oil and add 1tbsp of the cumin seeds, the coriander seeds, the onions, garlic and ginger. Cook on medium high heat till they become caramelised and brown - about 10-12 minutes. | Meanwhile, peel and roughly chop the potatoes. Once the onions are done, add the potatoes, all the spices (except 1 tablespoon cumin seeds) and ¾ cup water. | Turn the heat to low and cover. Allow the mixture to cook till the potatoes are soft and easy to mash - about 40 minutes | Once the potatoes are done, turn off the heat. Using a potato masher or a spoon, begin to mash the potatoes in the pot. | Add the remaining cumin seeds and chopped fresh coriander and mix through. Adjust the spices if you need to. | Your filling is done! Let it cool completely before attempting to handle it to stuff or fill anything."
76,aloo bukhara (plum) chutney,https://fatimacooks.net/aloo-bukhara-plum-chutney/,No Description ❌,1 hour,"200 g   dried plums | 1.5 cups   sugar | 1   finger-sized chunk cinnamon | 0.5 teaspoon   pepper | salt to taste | 0.75 teaspoon   red chilli powder | 0.5 teaspoon   cumin powder | 0.5 teaspoon   coriander powder | vinegar as required, optional","In a pan, add all the ingredients except the vinegar and enough water to cover by 2-3 inches | Bring to a boil and then simmer on medium heat uncovered until the dried plums swell up, release their seeds and begin to melt into the water to form a thick and jammy sauce. | How thick or fluid you want to keep the chutney is up to you. Once the plums have integrated into the water and formed a chutney, you can either add more water or continue to dry up the chutney till your desired consistency. I ended up adding about ½ cup of additional water to get to the consistency shown. | Once you have reached the desired consistency, turn the heat off and taste. Adjust the spice and salt if you feel the need to and if you want more of a tang, then add the vinegar half a tablespoon at a time. I only added ½ tbsp. | Store in an airtight container or jar in the fridge for up to 3 weeks."
77,aloo chana curry (potato and chickpea curry),https://fatimacooks.net/aloo-chana-salan/,No Description ❌,1 hour,"3 tablespoon   oil | 1   medium onion chopped finely | 4 cloves   garlic minced | 1   small piece  ginger minced | 1 tablespoon   cumin seeds | 2   small tomatoes | 1   (160 g) medium-sized potatoes chopped | 1 tin  (160 g) chickpeas, drained (1 tin drained = 240g/1 cup) | 2.5 teaspoon   cumin powder | 3 teaspoon   coriander powder | 1 teaspoon   red chilli powder | 1.5 teaspoon   salt | 0.5 teaspoon   black pepper","Firstly, chop the potatoes and soak them in cold water till needed. This step is optional but it removes some of the starch from the potatoes, meaning the shorba won't become thick and starchy after sitting for a while. | In a pot, heat the oil and add the chopped onions, minced garlic, minced ginger and cumin seeds. Heat this on low for about 15 minutes, till the edges are browning and the onions soften and reduce. Stir occasionally. | Add the tomatoes, all the spices and ¾ cup water. Bring to a boil, then cover and simmer on low, stirring occasionally. | Once most of the water has dried out and the mixture is beginning to come together, uncover and turn the heat to high. Sauté, stir and mash this mixture whilst on high till all the water has dried out. Our aim is to mash most of the onions and tomatoes completely. If after drying out all the water you feel they haven't mashed sufficiently, add ½ cup of water and continue to sauté and stir till he water dries off once again. | Once the masala is completely dry from water and is 90% or more mashed, add 4 cups of water, the chickpeas and the potatoes. | Bring to a boil, then cover and simmer for 15 minutes, or until the potatoes have cooked. | Garnish with coriander before serving (do as I say, not as I do, as I clearly forgot)."
78,bhindi masala - pakistani okra curry,https://fatimacooks.net/bhindi-okra/,No Description ❌,30 minutes,"¼ cup  (62 ½ ml) oil (plus more for deep frying) | 1 ½ cups  (300 g) fresh okra/lady fingers | 1   (110 g) medium onion, sliced | 4 cloves   garlic, minced | 2   (250 g) medium tomatoes. chopped roughly | 2   whole green chillis | ⅓ teaspoon   nigella seed (kalonji) | ½ teaspoon   turmeric | salt to taste | ½ teaspoon   red chilli powder or to taste | 1 teaspoon   cumin seeds | chopped coriander, to garnish","Wash and dry the okra. Cut the okra into small discs, discarding the head and the skinny tail, as shown in the picture below. | Heat oil in a pan for frying. You can choose to deep fry them or shallow fry them. Once the oil is hot, tip in all the okra discs and fry for about 6-8 minutes, until they begin to crisp up. You'll know the oil is hot enough when you drop one okra disc and it floats to the top . | In a separate pan, add the oil and once hot, add the sliced onion and garlic. Sauté this on high heat for a few minutes, until translucent and pink. We don't want to brown the onion, | Add the tomatoes, green chillies and all the spices. Sauté this on high heat for a few minutes. | Add the fried okra, mix in and turn the heat to low. Allow the okra to simmer on low for 10 minutes. | Garnish with chopped coriander to finish."
79,achari aloo ki bhujia,https://fatimacooks.net/achari-aloo-ki-bhujia/,No Description ❌,No cooktime ❌,"1.1 lb  (½ kg) potatoes peeled and sliced | 1 large  (150 g) tomato, blended | ½ teaspoon   nigella seed kalonji | ½ teaspoon   fennel seeds saunf | ½ teaspoon   black mustard seeds raye | ¼ teaspoon   fenugreek seeds methi dana | 1 teaspoon   dried fenugreek | 1 teaspoon   cumin powder | 1 teaspoon   coriander powder | 1 teaspoon   salt or to taste | 1 teaspoon   red chilli powder or to taste | 2 tablespoon   plum or tamarind sauce | ½ teaspoon   turmeric | 2   whole small green chillis | ¼ tablespoon  (60 ml) oil/butter/ghee | Coriander for garnish","Soak the sliced potatoes in some water for about half an hour. This helps take out some of their sweetness and removes some of the starch which will prevent the water of our curry becoming gloopy and thick. | Drain the potatoes and add all the ingredients for the curry and 1 cup of water. Bring this to a boil, then cover and simmer on low till the potatoes are cooked through, about 20 minutes. | Your Achari Aloo Ki Bhujia is ready! Garnish with fresh coriander and devour"
80,bhuna chana masala (chickpea curry),https://fatimacooks.net/easy-bhuna-chana-masala-chickpea-curry/,No Description ❌,No cooktime ❌,"1 tin   chickpeas, drained (1 tin drained = 240g/1 cup) | 1   (110 g) onion, diced finely | 1   (120 g) tomato, diced finely | 2.5 teaspoon   Kashmiri red chilli powder | 0.5 teaspoon   turmeric | 0.75 teaspoon   coriander powder | 0.5 teaspoon   whole cumin seeds | 0.5 teaspoon   cumin powder | 2 teaspoon   salt or to taste | ⅓ cup  (80 ml) oil | 2   boiled eggs optional","Add all the ingredients except the boiled eggs into a pan with about ½ cup (125ml) water. Cover and turn the heat to low for 30-40 minutes. | Uncover the pan and if there is moisture in the pot (there probably will be) then turn the heat to high and begin to dry out the curry, stirring at all times (bhoon it) until the curry is dry | Garnish with sliced boiled eggs and serve with chapatti, rice or paratha."
81,anda bhuna (egg curry),https://fatimacooks.net/anda-bhuna/,No Description ❌,25 minutes,1   medium  onion sliced | 1 teaspoon   garlic minced | 1 teaspoon   ginger minced | 2   medium tomatoes sliced | 4   hard boiled eggs | salt to taste | 0.75 teaspoon   red chilli powder | 0.75 teaspoon   cumin powder | 0.75 teaspoon   coriander powder | 0.5 teaspoon   turmeric powder,"In a pan, heat your oil and add the onions, garlic and ginger. Saute till golden, but ensure that the onions do not burn. | Add the tomatoes, all the spices and a splash of water. Cook on high. | Continue to cook on high, stirring continuously until the masala dries out and begins to gather in the centre. | At this point, add the hardboiled eggs and stir in. You can cut 4 shallow slits into the egg using a sharp knife to allow some of the flavour and masala to seep in. | Garnish with coriander and serve immediately."
82,aloo paratha using instant mashed potato,https://fatimacooks.net/aloo-paratha-using-instant-mashed-potato/,"Save on time, effort and dishes! This Cheats Aloo Paratha cheekily uses mashed potato powder and you would be pressed to tell the difference!",10 minutes,90 g   mashed potato powder | 1 teaspoon   salt or to taste | 1.5 teaspoon   red chilli powder or to taste | 1 teaspoon   whole cumin | 1 teaspoon   cumin powder | 2 teaspoon   coriander powder | 0.25 teaspoon   turmeric | 0.5   chopped onion | water as needed | milk as needed | 1   small bunch chopped coriander | 2 tablespoon   chopped mint optional but highly recommended | kneaded atta as needed | oil/butter/ghee as needed,"Fill a bowl with the powdered mashed potatoes, chopped onion and all the spices | Pour on freshly boiled water onto your powder mixture slowly, one gulp at a time, mixing with a spoon as you go along. Stop once you see the mixture is coming together somewhat but still looks slightly powdery | Pour on warm milk, again one gulp at a time, until the mixture is soft and looks like regular mashed potatoes. You may need to get your hands involved to ensure the spices are evenly distributed | Add the chopped coriander and optional mint. Put aside | Using your kneaded atta, take our two equal sized small rounds of atta | Roll them both out into equal sized circles | Load up the aloo stuffing onto one of the rounds. You want to fill it up equally but you also need to ensure you don't overfill, otherwise it may rip during the next steps. You also want to leave some room around the edges | Once you have placed your stuffing layer, take the other round and put it on top of the stuffing. Line up the rounds and then pinch together the sides | Roll out until your desired size | Place onto a pan which has been pre-heated on about a medium heat. Immediately spread a spoonful or two of oil/ghee/butter around the rim of the paratha. Flip the paratha once the colour has changed and allow the other side to change colour. Then flip again once one side has crisped up. Allow the other side to crisp up"
83,aloo ki bhujia with tomatoes,https://fatimacooks.net/aloo-ki-bhujia-with-tomatoes/,No Description ❌,32 minutes,"⅓ cup  (85 ml) oil | 2 teaspoon   kalonji  (nigella seed) | 2 teaspoon   cumin seeds | 3 medium  (370 g) tomatoes, finely sliced | 4   (850 g) medium potatoes, sliced into semi-circles | salt to taste | 0.5 teaspoon   turmeric powder | 1 teaspoon   red chilli powder or to taste | 1   handful chopped coriander | ½   handful chopped mint optional","In a pot, heat up the oil and add the kalonji and cumin seeds. Allow these to fry for about a minute whilst stirring | Add in the chopped tomatoes. Allow these to cook and break down nicely, stirring to help along the process. Cook your tomatoes down until they have broken down almost fully and the water has dried out. You should be able to see the oil separating from the tomatoes at this stage | Add in all the remaining spices, the sliced potatoes and about ¾  cup of water. Bring to a boil, then cover and simmer for approximately 20 minutes, or until the potatoes have been cooked through | Once cooked, turn off the heat and stir in the coriander and mint. Be careful not to break the potatoes as you stir - use a gentle hand."
84,sweet coconut samosa,https://fatimacooks.net/how-to-make-sweet-coconut-samosas-khopra-nariyal-ka-samosa/,No Description ❌,1 hour,2 cups  (270 g) plain flour | 3 tablespoon  (45 g) butter | water as much as needed to form a  dough | ½  cup  (45 g) dessicated coconut | ½ cup  (100 g) white sugar | 1   egg | oil for frying,"Begin with making the pastry. In a bowl, add the butter and use your fingertips to mix the butter into the flour, until it resembles breadcrumbs. | Add water, a few tablespoon at a time. Use your hands to knead the dough until it forms a firm dough. Be very careful not to add too much water, as if the dough becomes too wet it will be too difficult to work with. | Allow the dough to rest for at least 30 minutes. | To make the filling, simply mix all the ingredients together until well incorporated and set aside. | Take small balls out of the dough and begin to roll them out into circles, much like making a small chapatti. Cut the circles into 4 quarters. | Working with each quarter, shape and fill the samosas as shown in the post  until you have finished all the dough, | Heat oil in a deep wok or pan on medium heat. Fry the samosas on medium heat, turning throughout the fry time. | Serve immediately,"
85,aloo anday ka salan (pakistani egg & potato curry),https://fatimacooks.net/aloo-anday-ka-salan-aloo-anda-shorba-egg-and-potato-curry/,"A delicious, simple and traditional Pakistani lunch - this Aloo Anday recipe is a pure comfort food. Serve with plain white basmati rice",35 minutes,⅓ cup  (85 ml) oil | 1   (110 g) medium onion finely diced | 3-4 cloves   of garlic chopped or minced | 2   (180 g) small tomatoes chopped | salt to taste | 1 teaspoon   coriander powder | 1 teaspoon   chilli powder or to taste | 1 teaspoon   cumin seeds | 0.5 teaspoon   turmeric powder | 2   (450 g) medium potatoes chopped into equal sized chunks | 4   eggs | A small handful of chopped coriander,"Heat the oil in a pot. Once well heated, add the chopped onions. Stir continuously to avoid burning or uneven browning | Once the onions are light gold, add the garlic and cumin seeds. Stir these in for a few moments | Add the chopped tomatoes and all the remaining spices | Saute the tomatoes and once they have broken down for the most part, add a splash of water, cover with a lid and turn the heat down to low | Allow this to cook for a few minutes. Once most of the water has dried out, take off the lid. | At this point, you can either blitz everything in a food processor or continue to add some more water and cook down the masala. By the end of this step, you want a smooth paste with minimal chunks of onion or tomato visible though. | Once your masala is smooth and ready, add 1.5 cups of water and the potatoes. Cover with a lid and cook on low till the potatoes are tender | Meanwhile, boil your eggs in a separate pot. 8 minutes was enough for me to get a slightly soft yolk as shown in the images. Halve once done (optional) | Once your potatoes are tender, turn off the heat and stir in the coriander | Once you are ready to serve, dish out the curry and place in the halved eggs yolk side up, Optionally, garnish the final piece with more chopped coriander"
86,chocolate chip cake rusks,https://fatimacooks.net/how-to-make-chocolate-chip-cake-rusks/,I've gone and made the chocolate chip cookie Desi! The classic cake rusk everyone and their Mother loves with a modern twist. You can't miss this!,1 hour 25 minutes,¾ cup  (180 g) butter | ¾ cup  (180 g) white sugar | 3   eggs | 1 ½ cups  (180 g) self-raising flour | ½ cups  (100 g) chocolate chips,"Beat the sugar and butter until well combined. | Add the eggs one at a time, whisking each egg into the batter until well combined before adding the next. | Add in the self-raising flour. The mixture will be pretty thick! | Fold in the chocolate chips. | Transfer the batter into a greased or lined square shaped cake tin. | Bake at 180℃ for about 40 minutes, or until the top of the cake is golden and the cake is cooked through. Please do NOT overbake! This will lead to a very dry rusk! | Remove from the oven and allow to cool before going on to the next step, otherwise the cake will be crumbly and more likely to break during handling | Cut the cake into slices. Arrange these on a baking tray with the inside (not the crust-side) of the cake facing upwards. | Bake these at 150℃ for approximately 10-15 minutes, then flip and bake again for an additional 10-15 minutes. If the cake slices have not become biscuit-like in texture and crumb, continue to bake for an additional 10 or so minutes until they do. | Allow to cool completely before handling and serving."
87,lobia masala recipe | black eyed peas curry,https://fatimacooks.net/lobia-masala-recipe/,"Comforting, easy and nutritious lobia masala is a hug-in-a-bowl kind of simple. We all need a go-to recipe like that! Enjoy",2 hours,"1 ¼ cup  (200 g) dry black eyed peas | 2.5 tablespoon  (40 g) ghee | 2 medium  (220 g) onions, finely diced | 2   green chillis cut into 3 pieces each | 4   garlic cloves, minced | 1.5 teaspoon   cumin seeds | 2 teaspoon   paprika or Kashiri red chilli powder (essential for the colour) | 0.5 teaspoon   turmeric | salt to taste | 1 tablespoon   tomato puree | 2 cup water | chopped coriander for garnish","Soak the black eyed peas for a minimum of an hour, or up to 8 hours. I soaked mine for 6 hours. Drain well before using | Heat the ghee in a deep pot. Add the onions and cook on medium high, until the onions are transluscent | Once the onions are transluscent, add the garlic, all the spices and a splash of water. Cover and allow this to simmer on very low heat for about 3-4 minutes | Uncover and add the tomato puree. Fry this on a medium to high heat well, until the tomato puree has blended into the onion masala | Add in the black eyed peas. Toast these in the ghee and masala for 5 minutes, stirring often | Add 2.5 cups of water, bring to a boil, then allow everything to simmer covered on low for 1.5-2hrs, until the beans are tender. | Adjust for spices and see whether you are happy with the consistency of the gravy. If you prefer a thicker gravy, feel free to dry out some of the water. If you prefer a more watered down gravy, add water half a cup at a time and allow it to simmer for a few moments covered | Garnish with coriander and serve"
88,panjeeri (panjiri),https://fatimacooks.net/panjeeri-panjiri/,"A delicious, healing and warming nut and seed medley traditionally made for post partum recovery, general health and in the winter seasons.",No cooktime ❌,"½ cup  (75 g) almonds | ½ cup  (70 g) cashews | ½ cup  (60 g) walnuts | ½ cup  (20 g) lotus seeds phool makhana | ½ cup  (50 g) melon seeds charmagaz | ½ cup  (45 g) flakes or desiccated coconut | ½ cup  (45 g) oats | ½ cup  (80 g) sesame seeds | ¼ cup  (35 g) sunflower seeds | ¼ cup  (20 g) pumpkin seeds | ¼ cup  (40 g) goond gum arabic | 2 tablespoon  (20  g) whole flaxseeds | ½ - ¼ cup  (75-150 g) raisins can be adjusted to personal preference | 1 cup  (175 g) semolina sooji | ghee as needed | ½ cup  (100 g) sweetener of choice white sugar, brown sugar, coconut sugar, gurr, shakkar etc, powdered (run through a grinder till powdery)","Heat 2 tablespoon of ghee in a pot or pan. Top the ghee up as needed, whenever it is about to finish. Use a slotted spoon to fry and remove all the following ingredients, making sure to stir them often as they are frying. | Start by frying the almonds over a medium/low heat. Fry these until they are dark brown and fragrant. Remove with a slotted spoon and set aside in a large bowl. | Add the cashews into the ghee. Fry until golden brown and fragrant. Set aside in the large bowl alongside the almonds. | Add the walnuts into the ghee. Fry until darkening in colour and fragrant. Set aside with the other nuts. | Add the lotus seeds (phool makhana) to the ghee. These absorb a lot of ghee. Fry until they change colour. To check for doneness, you can try one. Once it's crunchy and not like popcorn, it's done. Set aside with the other nuts. | Add the melon seeds to the ghee. Fry until golden and fragrant. Set aside with the other nuts. | Add the coconut to the ghee. This will begin to brown VERY quickly. Remove and set aside with the other nuts. | Add the oats to the ghee. Fry until golden brown - this takes about ten minutes. Remove and set aside with the other nuts. | Add the sesame seeds to the ghee. Fry until golden brown and fragrant. Remove and set aside with the other nuts. | Add the sunflower seeds to the ghee. Fry until darkening and fragrant. Remove and set aside with the other nuts. | Add the pumpkin seeds to the ghee. Fry until darkening and fragrant. Remove and set aside with the other nuts. | Add the gond (gum arabic) to the ghee. Fry these until they become puffy and stop spluttering. IF THESE TURN VERY HARD, DO NOT ADD THESE TO THE NUT MIXTURE AND OMIT THEM. | Add the flaxseeds to the ghee. Fry for 3-4 minutes, Remove and set aside with the other nuts. | Add the raisins to the ghee. Fry till they swell - this happens VERY quickly. Remove and set these in a SEPARATE bowl from the other nuts. | Add the semolina (sooji) to the ghee. Fry this well, stirring often until it becomes dark and fragrant. This can take upto 12 minutes. Remove and set this aside with the raisins. | Transfer the large bowl of nuts and seeds to a food processor and grind the mixture coarsely. I recommend grinding the small nuts and seeds separately, as they turn to powder quicker. | Stir in the fried raisins, semolina and powdered sugar. You can adjust the sugar to taste."
89,sheer khurma (seviyan),https://fatimacooks.net/sheer-khurma-seviyan-shemai/,"A delicious, creamy dessert cooked traditionally on Eids and special occasions",20 minutes,"⅓ cup  (50 g) chopped nuts unsalted | 8   chopped dried dates if preferred | 1 tablespoon  (15 ml) ghee | ½ packet  (100 g) roasted vermicelli, broken into small pieces 1 packet =200g usually | 4 cups  (1 l) whole milk | ½ cup   double cream/heavy whipping cream optional | 1 teaspoon   cardamom powder | 2 tablespoon   kewra water | 6 tablespoon  (75 g) sugar or to taste","Heat the ghee in a pot or pan. Toast the nuts in the ghee until they become fragrant a brown, stirring continuously to avoid burning, about 3-5 minutes. Remove using a slotted spoon and set aside | In the remaining ghee, add the vermicelli. Toast this on a medium heat, stirring continuously until the vermicelli becomes golden, about 5 minutes | Add the remaining ingredients to the vermicelli (not the nuts). Cook this on a low to medium heat, stirring continuously until the milk thickens and begins to take the form/thickness you desire, about 10-15 minutes | Once thickened to your liking, turn the heat off and stir in the nuts | Garnish with nuts and dried fruit (optional)"
90,pakistani aloo gobi recipe,https://fatimacooks.net/aloo-gobi-pakistani-potato-cauliflower/,"A super easy and simple vegetarian dish, an Aloo Gobi is a classic many of us will remember our Mums making.",45 minutes,"⅓ cup  (80 ml) oil | 1   (110 g) medium onion finely chopped | 1 tablespoon   minced ginger | 6 cloves   garlic minced | 2   green chillies | 1.5 teaspoon   salt or to taste | 0.5 teaspoon   red chilli powder | 0.5 teaspoon   turmeric | 2 teaspoon   cumin seeds | 2 teaspoon   coriander powder | 3 ½ cup  (350 g) cauliflower, raw and cut into florets (one small head) | 1 ½ cup  (150 g) potatoes, peeled and chopped into cubes 2 medium sized | 2   (240 g) tomatoes chopped or pureed | Fresh coriander for garnish","Heat the oil in a pot or pan. Add the onions, ginger and garlic and fry them over a medium-high heat, till they begin to turn golden | Add the spices and green chillies. Fry for 2-3 minutes | Add the potatoes and cauliflower pieces. Allow these to fry for 3-4 minutes. It may start to smell like roasted spices - this is a good thing! | Add the tomatoes in. Give everything a stir - if things look like they need a splash of water, add some in. We really want to avoid adding excess water in, so please only add water if you think the curry will burn without it | Turn the heat to low, put the lid on and allow everything to steam-cook. Ideally, we want to avoid adding water, but keep checking in between. If you do need to add water, add a very small amount at a time. | Once the cauliflower and potatoes are tender, turn off the heat. Garnish with fresh coriander."
91,roghni naan,https://fatimacooks.net/roghni-naan/,No Description ❌,2 hours 40 minutes,1 cup  (250 ml) whole milk | 1   packet 1 packet=7g yeast | 1 tablespoon  (15 g) butter | 1 teaspoon   salt | 1 tablespoon  (12 g) sugar | 1   egg | 4 tablespoon  (80 g) yogurt | 5 cups  (650 g) self-raising or plain flour  self-raising flour will lead to a fluffier naan | Sesame seeds as needed | Nigella seeds as needed | Milk to brush over the Naan | Butter to brush over the Naan,"Take a large bowl and add warm milk into it, followed by a packet of fast-action yeast. Allow that to sit for a few moments. | Add the butter. Whisk in - the butter will likely melt if the milk is still warm. | Now add sugar and salt. Mix through. | Add in the egg and whisk. | Now, add the yogurt. Whisk through. | Add the white flour.  Add in a bit at a time - around the 500-650g mark you'll begin to be able to knead it without it being overly sticky. Once you get to that stage, give the dough a good kneading. You can turn it out onto your countertop if it helps you to knead more thoroughly. | Once it's been kneaded well, place it back into a bowl, brush it with oil and then cover with some cling film. Leave it in a warm place until it has doubled in size (about 2-3hrs, depending on how warm it's kept. | Once the dough has risen and you're ready to roll the Roghni Naans out, divide the dough into 7-8 portions. The dough WILL feel tacky. Tacky is GOOD because it means the dough has enough moisture for the Naan to be soft post-cooking. Flour your surface as needed to mitigate the tackiness. | Roll the Naan out as you would roti. Please refer to the video on this page if you would like clarity on how to roll the Naan out. | Once it's been rolled out, take the end of your rolling pin or a wooden spoon and poke holes into the surface of the Naan. Make the holes using ample pressure - it's OK if the holes pierce the surface of the dough. | Brush over the surface of the Naan with some warm milk, followed by pressing in a sprinkling of sesame seeds and nigella seeds using your hands or rolling pin. | Bake in a preheated oven at 200 degrees Celsius for 8-10 minutes OR cook over a skillet/tava on the stovetop, flipping in between till the Naan is golden | Once removed from the oven/skillet, brush over with butter."
92,masala chai ice cream,https://fatimacooks.net/masala-chai-ice-cream/,"The delicious, comforting and familiar flavours of masala chai transformed into a summertime treat!",5 minutes,1 teaspoon   fennel seeds | 1   black cardamom | 8   green cardamoms | ½ teaspoon   black peppercorns | 1 teaspoon   chopped ginger | 1   medium sized piece ginger | 6   tea bags | ¼ cup  (65 ml) water | ¾ cup  (160 g) sugar | 1 cup  (250 ml) whole milk | 2 cups  (500 ml) double/heavy cream,"In a saucer, add the whole spices, sugar, teabags and water. Bring to a boil and simmer for 15-20 minutes (the longer you simmer, the deeper the flavour will become). | Strain the spices from the tea mixture, then add this liquid to the milk and double cream. Stir together well. | (For Ninja Creami) Freeze for 24 hours. | (For Ninja Creami) Churn the frozen ice cream mixture on the ice cream setting. | If you are using another ice cream maker, prepare the ice cream as per its instructions. | Once the ice cream is ready, serve garnished with nuts."
93,courgette curry in 15 minutes,https://fatimacooks.net/15-min-pakistani-courgette-zucchini-curry-kali-tori/,No Description ❌,15 minutes,"⅓ cup  (85 ml) oil more or less, as per your own preference | 2 medium  (220 g) onions sliced | 1 teaspoon   ginger + garlic paste | 5   whole green chillies | 2 teaspoon   cumin seeds | 1.5 teaspoon   coriander powder | 0.5 teaspoon   turmeric | 0.5-1 teaspoon   red chilli powder as per preference | 1 teaspoon   salt or to taste | 1 tablespoon   tomato puree | 1.1 lb  (½ kg) courgette (zucchini), sliced into thin semi-circles (no need to remove the skin if you can easily pierce it with your nail) | A small handful of fresh coriander to garnish","Heat the oil or ghee in a pan. Add in all the ingredients except the courgettes and fresh coriander. Fry everything over a medium to high heat, stirring often until the onions become translucent and limp. We're not aiming to brown the onions. This will take about 5 minutes. | A﻿dd the courgettes in and stir to combine. Cover with a lid and cook over a medium to low heat for 10 minutes, stirring once in between. | G﻿arnish with fresh coriander and serve!"
94,crispy vegetable pakora,https://fatimacooks.net/vegetable-pakoras/,"A classic Pakistani and Indian snack - this recipe is bursting with delicious flavour and has the perfect, soft yet crispy texture",20 minutes,1 medium  (100 g) onion chopped | 1 medium  (150 g) potato peeled and sliced into thick strips | ½ small  (50 g) aubergine sliced into thick strips | 1 handful  (10 g) fresh spinach chopped | 1 tablespoon  (10 g) fresh coriander chopped | 4   green chillies chopped finely | ¾ cup  (100 g) gram flour | 1 teaspoon   corn flour optional | 1 teaspoon   salt or to taste | 1 teaspoon   chilli flakes | 1 teaspoon   cumin seeds | 1 teaspoon   coriander powder | 1 teaspoon   dried pomegranate seeds optional | ⅛ teaspoon   bicarbonate of soda | 2 teaspoon  (15 g) yogurt | 1   egg | Oil as needed for deep frying,"Add all the ingredients into a bowl and mix well. Ideally do this about 1 hour before you'd like to fry the pakoras as we ideally want the vegetables to release some moisture into the batter. If you're unable to wait an hour, add a small amount of cold water a bit at a time until the batter looks thick like PVA glue. | Heat a pan or wok with oil for deep frying. The oil should be hot but not smoking. To test whether the oil is hot enough drop a small bit of the pakora batter into the oil. It should float up immediately. | Using your hands or a tablespoon, drop in about a tablespoon of batter per pakora into the oil. Allow the pakora to fry for 4-5 minutes without moving it, until it is strong enough to hold its shape before turning it to fry on the other side. Fry the other side for another 4-5 minutes too. The pakora will be golden brown and crispy when it is done. | Use a slotted spoon to drain out as much oil as possible from the pakora over the frying pan before placing them into a colander lined with tissue whilst you fry the rest of your batter. | Pakoras are best served immediately. Enjoy!"
95,pumpkin halwa,https://fatimacooks.net/pumpkin-halwa/,No Description ❌,40 minutes,"1   medium sized pumpkin 600g/1.3lb of the pumpkin whole, with skin and seeds all in, equating to 400g/0.8lb grated | ¼ teaspoon   cardamom powder | 1 ½ cup  (375 ml) whole milk | ⅓ cup  (65 g) ghee | ½ cup  (100 g)  cup sugar | Nuts to garnish","1. Add the grated pumpkin, cardamom powder and whole milk to a pot or pan. Heat over a high heat, stirring often until the mixture becomes very dry, | 2. Add in the sugar. It'll melt and liquify - continue to stir and dry out the mixture over a high heat until it begins to look dry again. | 3. Add the ghee/oil in. Continue to cook over a high heat, stirring often. The mixture will turn to a glossy, dark shade of orange. | 4. Keep stirring the mixture until the it begins to pull away from the pan and looks fudgy. | 5. Garnish with nuts and serve warm."
